scheme_code,age,gender,state,education_level,marks_percent,family_income,nirf_rank,qs_rank,has_admission_offer,is_pwd,pwd_percent,ocr_caste_ok,ocr_income_ok,ocr_academic_ok,merit_score,decision
BVOBC,18,male,Gujarat,12th,73.9,398000.0,2,999,1,0,0,1,1,1,74.56,Ineligible
A023B,25,male,Madhya Pradesh,masters,62.3,293000.0,1,999,1,0,0,1,1,1,69.92,Eligible
BPVGK,15,male,Sikkim,10th,92.0,341000.0,999,999,1,0,0,1,1,1,64.8,Ineligible
A023B,23,male,Assam,masters,58.6,377000.0,85,999,1,0,0,1,1,1,58.44,Eligible
BVOBC,19,female,Chhattisgarh,bachelors,88.5,120000.0,78,999,1,0,0,1,1,1,80.4,Eligible
A023B,19,male,Chhattisgarh,masters,88.0,224000.0,1,999,1,0,0,1,1,1,80.2,Eligible
ARG45,29,female,Karnataka,masters,78.8,329000.0,65,999,0,0,0,1,1,1,71.52,Ineligible
BVOBC,17,male,Rajasthan,bachelors,58.8,269000.0,3,999,1,0,0,1,1,1,68.52,Ineligible
BPVGK,16,female,Arunachal Pradesh,10th,54.2,47000.0,999,999,1,0,0,1,1,0,59.68,Borderline
AZKMI,38,female,Arunachal Pradesh,postdoc,85.3,969000.0,999,14,1,0,0,1,1,1,74.12,Ineligible
BPVGK,16,female,Kerala,10th,78.2,294000.0,999,999,1,0,0,1,1,1,64.28,Ineligible
ARG45,27,male,Assam,masters,85.6,626000.0,5,999,1,0,0,1,1,1,69.24,Eligible
ARG45,25,female,Kerala,masters,68.9,519000.0,1,999,1,0,0,1,1,1,72.56,Eligible
BVOBC,17,male,Mizoram,bachelors,90.7,221000.0,2,999,1,0,0,1,1,1,81.28,Eligible
A023B,23,female,Karnataka,bachelors,94.8,410000.0,5,999,1,0,0,1,1,1,82.92,Eligible
BVOBC,18,female,Nagaland,12th,86.1,77000.0,85,999,1,0,0,1,1,1,79.44,Eligible
BVOBC,17,male,Chhattisgarh,bachelors,88.4,116000.0,78,999,1,0,0,1,1,1,75.36,Eligible
BPVGK,17,female,Sikkim,10th,45.4,150000.0,999,999,1,0,0,1,1,1,56.16,Ineligible
AZKMI,21,male,Arunachal Pradesh,phd,51.5,124000.0,999,8,1,0,0,1,1,1,70.6,Ineligible
BPVGK,17,other,Gujarat,10th,54.6,236000.0,999,999,1,0,0,1,1,1,49.84,Eligible
ARG45,27,male,Maharashtra,masters,69.7,144000.0,6,999,1,0,0,1,1,1,77.88,Eligible
BVOBC,22,female,Karnataka,12th,49.8,49000.0,85,999,1,0,0,1,1,1,64.92,Ineligible
BVOBC,17,male,Madhya Pradesh,12th,95.2,268000.0,95,999,1,0,0,1,1,1,73.08,Ineligible
ARG45,32,male,Tripura,masters,62.4,845000.0,85,999,1,0,0,1,1,1,49.96,Eligible
A023B,20,female,Nagaland,bachelors,58.3,688000.0,110,999,1,0,0,1,1,1,46.32,Ineligible
BPVGK,16,female,Arunachal Pradesh,10th,76.7,174000.0,999,999,1,0,0,1,1,1,68.68,Eligible
BVOBC,22,male,Odisha,bachelors,69.7,261000.0,85,999,1,0,0,1,1,1,62.88,Ineligible
ARG45,34,female,Jharkhand,masters,59.7,367000.0,1,999,1,0,0,1,1,1,73.88,Eligible
ARG45,27,female,Rajasthan,phd,71.0,740000.0,59,999,1,0,0,1,1,1,58.4,Eligible
BVOBC,18,male,Meghalaya,bachelors,53.4,114000.0,140,999,1,0,0,1,1,1,54.36,Eligible
AZKMI,34,female,Chhattisgarh,masters,75.5,437000.0,999,32,1,0,0,1,1,1,75.2,Eligible
A023B,18,female,Telangana,bachelors,62.7,312000.0,1,999,1,0,0,1,1,1,75.08,Eligible
AZKMI,27,female,Jharkhand,phd,75.5,389000.0,999,1,1,0,0,1,1,1,80.2,Eligible
A023B,24,male,Madhya Pradesh,masters,68.7,310000.0,2,999,1,0,0,0,1,1,72.48,Ineligible
ARG45,22,female,Tripura,phd,50.8,718000.0,85,999,0,0,0,1,1,1,50.32,Ineligible
BPVGK,14,male,Odisha,10th,48.5,60000.0,999,999,1,0,0,1,1,1,52.4,Ineligible
BVOBC,24,female,Karnataka,12th,65.1,291000.0,78,999,1,0,0,1,1,1,66.04,Ineligible
BVOBC,17,male,Chhattisgarh,12th,50.4,156000.0,59,999,1,1,43,1,1,1,65.16,Eligible
BVOBC,17,male,Karnataka,bachelors,90.0,56000.0,65,999,1,0,0,0,1,1,76.0,Ineligible
BVOBC,19,male,Meghalaya,bachelors,51.1,155000.0,6,999,1,0,0,1,1,0,70.44,Borderline
A023B,21,female,Chhattisgarh,masters,83.4,783000.0,2,999,1,0,0,1,1,1,73.36,Ineligible
A023B,19,male,Rajasthan,masters,57.6,89000.0,1,999,1,0,0,1,1,1,73.04,Eligible
A023B,20,male,Nagaland,bachelors,94.3,238000.0,2,999,1,0,0,1,1,1,82.72,Eligible
AZKMI,24,female,Nagaland,masters,70.7,196000.0,999,2,1,0,0,1,1,1,83.28,Eligible
A023B,24,female,Karnataka,bachelors,61.5,442000.0,85,999,1,0,0,1,1,1,59.6,Eligible
BPVGK,16,female,Rajasthan,10th,71.5,188000.0,999,999,1,0,0,1,1,1,66.6,Eligible
BPVGK,16,female,Odisha,10th,56.9,200000.0,999,999,1,0,0,1,1,1,60.76,Eligible
A023B,22,female,Gujarat,masters,63.8,646000.0,6,999,1,0,0,1,1,1,65.52,Ineligible
BPVGK,15,male,Nagaland,10th,53.5,248000.0,999,999,1,0,0,1,1,1,49.4,Eligible
BPVGK,15,male,Arunachal Pradesh,10th,93.7,312000.0,999,999,1,0,0,1,1,1,65.48,Ineligible
AZKMI,28,female,Jharkhand,phd,54.9,837000.0,999,37,1,0,0,1,1,1,61.96,Ineligible
ARG45,27,female,Nagaland,phd,72.1,355000.0,5,999,1,0,0,1,1,1,78.84,Eligible
AZKMI,36,female,Telangana,masters,62.1,567000.0,999,32,1,0,0,1,1,1,69.84,Ineligible
A023B,19,female,Arunachal Pradesh,bachelors,94.6,352000.0,6,999,1,0,0,1,1,1,87.84,Eligible
BPVGK,16,male,Meghalaya,10th,89.4,155000.0,999,999,1,0,0,1,0,1,68.76,Borderline
ARG45,23,male,Manipur,phd,85.8,536000.0,95,999,1,0,0,0,1,1,64.32,Ineligible
A023B,20,female,Nagaland,masters,75.9,127000.0,2,999,1,0,0,1,1,1,85.36,Eligible
AZKMI,32,female,Jharkhand,phd,85.3,552000.0,999,22,1,1,48,1,1,1,84.12,Eligible
A023B,25,male,Nagaland,masters,65.7,569000.0,1,999,0,0,0,1,1,1,66.28,Ineligible
AZKMI,25,male,Manipur,postdoc,84.5,325000.0,999,14,1,0,0,1,1,1,78.8,Eligible
A023B,25,female,Arunachal Pradesh,masters,76.7,573000.0,1,999,1,0,0,1,1,1,75.68,Eligible
A023B,20,male,Arunachal Pradesh,masters,88.8,498000.0,5,999,1,0,0,1,1,1,75.52,Eligible
ARG45,35,male,Sikkim,phd,87.8,131000.0,5,999,1,0,0,1,1,1,85.12,Eligible
AZKMI,24,male,Manipur,postdoc,76.3,560000.0,999,650,1,0,0,1,1,0,50.52,Ineligible
ARG45,26,male,Assam,masters,86.3,584000.0,1,999,1,0,0,1,1,1,74.52,Eligible
ARG45,29,female,Andhra Pradesh,phd,52.5,162000.0,110,999,1,1,72,1,1,1,64.0,Ineligible
AZKMI,24,male,Sikkim,phd,56.6,119000.0,999,4,1,0,0,1,1,1,72.64,Eligible
ARG45,31,male,Nagaland,phd,66.5,291000.0,110,999,1,0,0,1,1,1,54.6,Eligible
ARG45,31,female,Kerala,phd,51.5,606000.0,78,999,1,0,0,1,0,1,50.6,Ineligible
BVOBC,20,female,Maharashtra,bachelors,91.0,229000.0,250,999,1,0,0,1,1,1,69.4,Eligible
BVOBC,21,female,Assam,bachelors,48.5,342000.0,140,999,1,0,0,1,1,1,52.4,Ineligible
A023B,23,male,Telangana,masters,80.1,678000.0,85,999,1,0,0,1,1,1,57.04,Ineligible
BPVGK,15,female,Gujarat,10th,50.3,312000.0,999,999,1,0,0,1,1,0,53.12,Ineligible
BPVGK,14,female,Meghalaya,10th,67.1,150000.0,999,999,1,0,0,1,1,1,64.84,Eligible
ARG45,31,female,Assam,masters,58.8,473000.0,72,999,1,0,0,1,1,1,58.52,Eligible
BVOBC,18,female,Jharkhand,12th,46.7,91000.0,85,999,1,0,0,1,1,1,63.68,Ineligible
ARG45,35,female,Telangana,masters,75.7,458000.0,95,999,1,0,0,1,1,1,65.28,Eligible
A023B,20,male,Madhya Pradesh,masters,59.3,439000.0,5,999,1,0,0,1,0,1,63.72,Borderline
AZKMI,26,male,Madhya Pradesh,phd,53.4,618000.0,999,22,0,0,0,1,1,1,56.36,Ineligible
BPVGK,14,male,Meghalaya,10th,61.9,113000.0,999,999,1,0,0,1,1,1,57.76,Eligible
A023B,19,male,Odisha,bachelors,69.9,131000.0,65,999,1,0,0,1,1,1,67.96,Eligible
ARG45,28,male,Gujarat,phd,63.7,774000.0,2,999,1,0,0,1,1,1,60.48,Eligible
A023B,18,male,Jharkhand,masters,87.9,581000.0,1,999,1,0,0,1,1,1,75.16,Eligible
BPVGK,14,female,Manipur,10th,56.9,59000.0,999,999,1,0,0,1,1,1,60.76,Eligible
BVOBC,17,male,Odisha,12th,86.4,68000.0,6,999,1,0,0,1,1,1,84.56,Eligible
BVOBC,23,male,Nagaland,bachelors,78.5,276000.0,3,999,1,0,0,1,1,1,76.4,Ineligible
BVOBC,21,female,Gujarat,bachelors,84.8,145000.0,2,999,1,0,0,1,1,1,88.92,Eligible
A023B,25,female,Arunachal Pradesh,masters,58.4,737000.0,110,999,1,0,0,1,1,1,46.36,Ineligible
BVOBC,24,female,Gujarat,12th,46.1,341000.0,5,999,1,0,0,1,1,1,68.44,Ineligible
ARG45,22,female,Tamil Nadu,phd,67.3,97000.0,1,999,1,0,0,1,1,1,81.92,Eligible
ARG45,34,male,Jharkhand,phd,91.5,822000.0,1,999,1,0,0,1,1,1,71.6,Eligible
A023B,24,male,Odisha,masters,91.9,755000.0,5,999,1,0,0,0,1,0,71.76,Ineligible
ARG45,26,male,Meghalaya,masters,94.9,708000.0,72,999,1,0,0,1,1,1,62.96,Eligible
BVOBC,22,male,Tamil Nadu,bachelors,88.2,200000.0,85,999,1,1,59,1,1,0,80.28,Borderline
A023B,19,male,Rajasthan,masters,93.6,477000.0,250,999,1,0,0,1,1,1,60.44,Ineligible
ARG45,32,male,Assam,masters,60.5,610000.0,1,999,1,0,0,1,1,1,59.2,Eligible
BVOBC,17,female,Meghalaya,bachelors,72.6,56000.0,2,999,1,0,0,1,1,1,84.04,Eligible
A023B,24,female,Manipur,bachelors,82.6,711000.0,1,999,1,0,0,1,0,1,73.04,Ineligible
AZKMI,26,male,Nagaland,phd,52.0,937000.0,999,37,1,0,0,1,1,1,55.8,Ineligible
BVOBC,23,male,Mizoram,12th,78.5,94000.0,3,999,1,0,0,0,0,0,81.4,Borderline
A023B,19,other,Karnataka,bachelors,81.1,555000.0,1,999,1,0,0,1,1,1,72.44,Eligible
ARG45,27,male,Mizoram,masters,81.2,434000.0,59,999,1,0,0,1,1,1,62.48,Eligible
BVOBC,20,male,Sikkim,12th,92.2,128000.0,59,999,1,0,0,1,1,1,76.88,Eligible
BVOBC,23,female,Chhattisgarh,12th,74.4,268000.0,1,999,1,0,0,1,1,1,79.76,Ineligible
ARG45,29,female,Karnataka,masters,55.7,89000.0,59,999,1,0,0,1,1,1,67.28,Eligible
A023B,24,female,Arunachal Pradesh,bachelors,85.6,166000.0,78,999,1,0,0,1,0,1,79.24,Borderline
BVOBC,24,female,Sikkim,bachelors,59.8,212000.0,6,999,1,0,0,1,1,1,73.92,Eligible
BVOBC,22,male,Assam,bachelors,64.3,198000.0,250,999,1,0,0,1,1,1,58.72,Eligible
ARG45,36,male,Odisha,phd,62.8,383000.0,1,999,0,0,0,1,0,1,70.12,Ineligible
BVOBC,22,female,Meghalaya,12th,62.7,100000.0,72,999,1,0,0,1,1,1,70.08,Eligible
AZKMI,28,male,Tamil Nadu,postdoc,62.5,186000.0,999,22,1,0,0,1,1,0,75.0,Borderline
A023B,18,male,Jharkhand,masters,63.7,758000.0,2,999,1,0,0,1,1,1,60.48,Ineligible
BVOBC,24,male,Sikkim,bachelors,49.4,89000.0,5,999,1,0,0,1,1,1,69.76,Ineligible
ARG45,30,male,Madhya Pradesh,phd,62.4,590000.0,250,999,1,0,0,1,1,1,47.96,Eligible
ARG45,35,female,Telangana,masters,92.7,587000.0,2,999,1,0,0,1,0,1,82.08,Borderline
AZKMI,30,female,Maharashtra,masters,58.9,888000.0,999,22,0,0,0,1,1,1,63.56,Ineligible
BVOBC,21,male,Odisha,bachelors,77.2,124000.0,95,999,1,0,0,1,1,1,70.88,Eligible
AZKMI,36,female,Nagaland,postdoc,67.6,421000.0,999,21,1,0,0,1,1,1,72.04,Ineligible
AZKMI,34,male,Manipur,masters,57.9,961000.0,999,32,1,0,0,1,1,1,58.16,Ineligible
BVOBC,20,male,Tamil Nadu,12th,59.8,223000.0,59,999,1,0,0,1,1,1,58.92,Eligible
AZKMI,29,female,Sikkim,masters,62.1,755000.0,999,8,1,0,0,1,1,1,64.84,Ineligible
ARG45,31,female,Chhattisgarh,phd,55.8,513000.0,85,999,1,0,0,1,1,1,57.32,Eligible
BVOBC,22,male,Odisha,12th,95.2,342000.0,110,999,1,0,0,1,1,1,66.08,Ineligible
BPVGK,15,female,Rajasthan,10th,92.0,42000.0,999,999,1,0,0,1,0,1,74.8,Borderline
AZKMI,21,male,Maharashtra,masters,78.4,719000.0,999,3,1,0,0,1,1,1,66.36,Ineligible
BVOBC,23,male,Madhya Pradesh,12th,45.8,339000.0,6,999,1,0,0,1,1,1,63.32,Ineligible
BVOBC,17,male,Manipur,bachelors,59.0,113000.0,5,999,1,0,0,0,1,1,73.6,Ineligible
A023B,25,female,Arunachal Pradesh,masters,94.0,464000.0,85,999,0,0,0,1,0,1,72.6,Ineligible
BVOBC,23,female,Kerala,12th,67.8,212000.0,2,999,1,0,0,1,1,1,77.12,Eligible
BPVGK,17,female,Maharashtra,10th,74.7,57000.0,999,999,1,0,0,1,1,1,67.88,Eligible
BVOBC,21,male,Odisha,bachelors,60.9,162000.0,6,999,1,0,0,1,1,1,74.36,Eligible
BPVGK,17,female,Rajasthan,10th,72.3,130000.0,999,999,1,0,0,1,1,1,66.92,Eligible
A023B,24,male,Madhya Pradesh,bachelors,71.2,625000.0,65,999,1,0,0,1,0,1,53.48,Ineligible
A023B,24,female,Telangana,masters,55.4,165000.0,59,999,1,0,0,1,1,1,67.16,Eligible
ARG45,33,male,Rajasthan,phd,73.4,271000.0,78,999,1,0,0,1,1,0,64.36,Borderline
BPVGK,15,female,Andhra Pradesh,10th,52.5,51000.0,999,999,1,1,66,0,1,1,64.0,Ineligible
BVOBC,24,male,Manipur,12th,48.4,269000.0,2,999,1,0,0,1,1,1,64.36,Ineligible
AZKMI,30,male,Arunachal Pradesh,phd,78.1,463000.0,999,6,1,0,0,1,1,1,71.24,Eligible
BVOBC,19,female,Meghalaya,bachelors,61.8,318000.0,5,999,1,0,0,0,1,1,74.72,Ineligible
BPVGK,15,female,Jharkhand,10th,49.6,287000.0,999,999,1,0,0,1,1,1,52.84,Ineligible
AZKMI,35,male,Odisha,phd,79.9,394000.0,999,22,1,0,0,1,1,1,76.96,Eligible
A023B,19,female,Telangana,bachelors,96.1,761000.0,95,999,1,0,0,1,1,1,68.44,Ineligible
BVOBC,19,male,Arunachal Pradesh,12th,89.2,348000.0,95,999,1,0,0,1,1,1,70.68,Ineligible
BPVGK,14,male,Tripura,10th,54.8,146000.0,999,999,1,0,0,1,1,1,54.92,Eligible
BPVGK,16,male,Telangana,10th,46.7,118000.0,999,999,1,0,0,1,1,1,51.68,Ineligible
AZKMI,36,male,Kerala,postdoc,78.5,541000.0,999,21,1,0,0,1,1,1,71.4,Ineligible
ARG45,24,male,Assam,masters,53.7,761000.0,2,999,1,0,0,1,1,1,56.48,Ineligible
A023B,18,other,Rajasthan,masters,91.0,691000.0,3,999,1,0,0,1,0,1,71.4,Ineligible
BPVGK,15,female,Odisha,10th,81.4,57000.0,999,999,1,0,0,1,1,1,70.56,Eligible
A023B,23,female,Jharkhand,bachelors,69.7,489000.0,2,999,1,0,0,1,1,1,72.88,Eligible
AZKMI,21,male,Jharkhand,masters,78.7,514000.0,999,650,0,0,0,1,1,1,51.48,Ineligible
ARG45,28,male,Assam,phd,58.0,178000.0,88,999,1,0,0,1,1,1,63.2,Eligible
BPVGK,17,female,Sikkim,10th,62.8,146000.0,999,999,1,0,0,1,1,1,63.12,Eligible
BVOBC,20,female,Kerala,bachelors,62.7,332000.0,72,999,1,0,0,1,1,1,65.08,Ineligible
BVOBC,20,male,Madhya Pradesh,bachelors,56.1,134000.0,2,999,1,0,0,1,1,1,72.44,Eligible
A023B,18,female,Kerala,masters,85.2,533000.0,72,999,1,0,0,1,1,1,69.08,Eligible
ARG45,24,female,Maharashtra,masters,69.8,578000.0,59,999,1,0,0,1,1,1,62.92,Eligible
BVOBC,20,male,Tripura,12th,66.5,319000.0,110,999,1,0,0,1,1,1,54.6,Ineligible
AZKMI,25,male,Telangana,masters,79.9,810000.0,999,3,0,0,0,1,1,1,66.96,Ineligible
AZKMI,26,female,Assam,phd,63.8,266000.0,999,1,1,0,0,1,1,1,75.52,Eligible
AZKMI,38,female,Mizoram,postdoc,67.7,291000.0,999,21,1,0,0,1,1,1,77.08,Ineligible
ARG45,27,male,Assam,phd,86.9,674000.0,59,999,1,0,0,1,1,1,59.76,Eligible
BPVGK,15,female,Tamil Nadu,10th,63.5,139000.0,999,999,1,0,0,1,1,1,63.4,Eligible
BPVGK,14,male,Assam,10th,55.6,169000.0,999,999,1,0,0,1,1,1,55.24,Eligible
AZKMI,26,female,Andhra Pradesh,masters,67.9,566000.0,999,2,1,1,66,1,1,1,77.16,Eligible
A023B,24,male,Maharashtra,masters,55.5,551000.0,1,999,1,0,0,1,1,1,62.2,Eligible
BVOBC,24,male,Sikkim,bachelors,88.1,390000.0,2,999,1,0,0,1,0,1,80.24,Ineligible
AZKMI,29,male,Assam,masters,73.2,653000.0,999,21,1,1,77,1,1,1,69.28,Ineligible
AZKMI,31,male,Mizoram,postdoc,63.3,837000.0,999,22,1,0,0,1,1,1,60.32,Ineligible
BVOBC,23,male,Mizoram,12th,53.9,233000.0,6,999,1,0,0,1,1,1,66.56,Eligible
AZKMI,37,male,Tamil Nadu,postdoc,70.6,169000.0,999,8,1,0,0,0,1,1,78.24,Ineligible
AZKMI,30,other,Madhya Pradesh,phd,68.0,266000.0,999,650,1,0,0,1,1,1,52.2,Ineligible
BPVGK,16,male,Kerala,10th,75.8,203000.0,999,999,1,0,0,1,1,1,58.32,Eligible
A023B,20,female,Arunachal Pradesh,masters,76.6,113000.0,3,999,1,0,0,1,1,1,85.64,Eligible
A023B,23,female,Meghalaya,bachelors,64.5,93000.0,65,999,1,0,0,1,1,1,70.8,Eligible
A023B,18,male,Karnataka,masters,69.6,329000.0,2,999,1,0,0,1,1,1,72.84,Eligible
AZKMI,36,female,Kerala,postdoc,94.3,175000.0,999,650,0,0,0,1,1,1,72.72,Ineligible
A023B,23,female,Kerala,masters,72.9,631000.0,6,999,1,0,0,1,1,1,69.16,Ineligible
ARG45,25,male,Chhattisgarh,masters,94.6,539000.0,1,999,1,0,0,1,0,0,77.84,Borderline
A023B,22,female,Rajasthan,masters,88.1,534000.0,1,999,1,0,0,1,1,1,80.24,Eligible
BVOBC,19,female,Sikkim,bachelors,59.7,232000.0,88,999,1,0,0,1,1,1,63.88,Eligible
ARG45,28,male,Arunachal Pradesh,masters,78.6,580000.0,6,999,1,0,0,1,1,1,71.44,Eligible
A023B,25,female,Tamil Nadu,bachelors,95.9,96000.0,1,999,1,0,0,1,1,1,93.36,Eligible
AZKMI,27,male,Maharashtra,phd,56.0,158000.0,999,3,1,0,0,1,1,1,72.4,Eligible
ARG45,23,female,Sikkim,phd,89.2,823000.0,2,999,1,0,0,0,1,1,75.68,Ineligible
BVOBC,18,male,Andhra Pradesh,bachelors,93.8,358000.0,2,999,1,0,0,1,1,0,82.52,Ineligible
BVOBC,23,female,Odisha,12th,63.5,298000.0,250,999,1,0,0,1,1,1,58.4,Ineligible
ARG45,23,male,Kerala,masters,66.5,611000.0,6,999,0,0,0,1,1,1,61.6,Ineligible
BVOBC,21,female,Andhra Pradesh,bachelors,60.1,200000.0,78,999,1,0,0,1,1,1,69.04,Eligible
BVOBC,22,female,Nagaland,bachelors,60.6,298000.0,72,999,1,1,63,1,1,1,69.24,Ineligible
BVOBC,23,male,Assam,bachelors,77.5,50000.0,1,999,1,0,0,1,1,1,81.0,Eligible
AZKMI,26,male,Telangana,phd,79.0,628000.0,999,22,1,0,0,1,0,1,66.6,Ineligible
BPVGK,14,male,Andhra Pradesh,10th,78.4,51000.0,999,999,1,0,0,1,1,1,64.36,Eligible
BVOBC,22,male,Chhattisgarh,bachelors,68.4,369000.0,85,999,1,0,0,1,1,1,62.36,Ineligible
A023B,18,female,Rajasthan,masters,81.9,765000.0,6,999,1,0,0,1,1,1,72.76,Ineligible
BPVGK,15,female,Kerala,10th,57.8,267000.0,999,999,1,0,0,1,1,1,56.12,Ineligible
BVOBC,21,female,Odisha,bachelors,49.7,108000.0,3,999,1,0,0,1,1,1,74.88,Ineligible
ARG45,23,female,Kerala,masters,64.3,592000.0,1,999,1,0,0,1,1,1,70.72,Eligible
A023B,24,male,Nagaland,bachelors,86.0,399000.0,2,999,0,0,0,1,1,1,79.4,Ineligible
BVOBC,21,female,Andhra Pradesh,bachelors,89.2,130000.0,5,999,1,0,0,1,1,1,90.68,Eligible
ARG45,27,male,Maharashtra,phd,72.3,210000.0,59,999,1,0,0,1,1,1,63.92,Eligible
BVOBC,20,male,Rajasthan,12th,60.7,150000.0,250,999,1,0,0,1,1,1,57.28,Eligible
ARG45,34,male,Manipur,phd,85.4,776000.0,1,999,1,0,0,1,1,1,69.16,Eligible
A023B,25,male,Gujarat,masters,70.9,300000.0,1,999,1,0,0,1,1,1,73.36,Eligible
BVOBC,19,female,Arunachal Pradesh,bachelors,84.1,47000.0,1,999,1,0,0,1,1,1,88.64,Eligible
AZKMI,38,female,Tripura,postdoc,59.0,293000.0,999,22,1,0,0,1,1,1,73.6,Ineligible
A023B,18,male,Andhra Pradesh,masters,84.6,734000.0,6,999,0,0,0,1,1,1,68.84,Ineligible
AZKMI,24,male,Sikkim,phd,56.0,775000.0,999,8,0,0,0,1,1,1,57.4,Ineligible
AZKMI,31,female,Madhya Pradesh,postdoc,74.6,695000.0,999,22,1,0,0,1,1,1,69.84,Ineligible
BPVGK,16,male,Manipur,10th,90.3,173000.0,999,999,1,0,0,1,1,1,69.12,Eligible
A023B,18,female,Meghalaya,bachelors,60.1,376000.0,2,999,1,0,0,1,1,0,74.04,Borderline
AZKMI,31,male,Odisha,postdoc,72.1,617000.0,999,32,1,0,0,1,0,1,63.84,Ineligible
A023B,25,male,Madhya Pradesh,bachelors,87.3,632000.0,6,999,1,0,0,1,0,1,69.92,Ineligible
AZKMI,37,female,Kerala,postdoc,83.3,954000.0,999,3,1,0,0,1,1,1,73.32,Ineligible
ARG45,31,female,Meghalaya,phd,74.0,609000.0,1,999,1,0,0,1,1,1,69.6,Eligible
BPVGK,15,female,Assam,10th,50.0,201000.0,999,999,1,0,0,0,1,1,53.0,Ineligible
AZKMI,27,female,Manipur,masters,63.6,482000.0,999,6,1,0,0,1,1,1,70.44,Eligible
BPVGK,17,female,Tripura,10th,47.5,170000.0,999,999,1,1,53,1,1,1,62.0,Ineligible
ARG45,33,male,Telangana,masters,57.3,236000.0,140,999,1,0,0,1,0,1,50.92,Borderline
ARG45,26,female,Telangana,masters,92.5,74000.0,110,999,1,0,0,1,1,1,75.0,Eligible
BPVGK,16,male,Arunachal Pradesh,10th,56.5,254000.0,999,999,1,0,0,1,1,1,50.6,Ineligible
ARG45,24,male,Manipur,masters,55.8,191000.0,140,999,1,1,55,1,1,1,60.32,Eligible
BVOBC,23,female,Arunachal Pradesh,12th,53.9,227000.0,6,999,1,0,0,1,1,1,71.56,Eligible
BPVGK,16,female,Maharashtra,10th,65.2,149000.0,999,999,1,1,53,1,1,1,69.08,Eligible
ARG45,36,female,Andhra Pradesh,phd,52.1,377000.0,250,999,1,1,49,1,1,1,58.84,Ineligible
A023B,24,female,Andhra Pradesh,masters,60.8,514000.0,6,999,1,0,0,1,1,1,69.32,Eligible
A023B,21,male,Chhattisgarh,bachelors,64.4,173000.0,110,999,1,0,0,1,1,1,58.76,Ineligible
BVOBC,21,female,Meghalaya,bachelors,81.2,206000.0,250,999,1,0,0,1,0,1,65.48,Borderline
BPVGK,14,female,Mizoram,10th,82.4,286000.0,999,999,1,0,0,1,1,0,65.96,Ineligible
ARG45,27,male,Gujarat,masters,75.7,466000.0,95,999,1,0,0,1,0,1,60.28,Borderline
BPVGK,14,female,Meghalaya,10th,82.2,240000.0,999,999,1,0,0,1,1,0,65.88,Borderline
ARG45,29,female,Andhra Pradesh,masters,80.1,348000.0,250,999,1,0,0,1,1,1,65.04,Eligible
A023B,19,female,Sikkim,masters,60.4,330000.0,5,999,0,0,0,1,1,1,74.16,Ineligible
AZKMI,28,male,Telangana,masters,58.9,770000.0,999,22,1,0,0,1,1,1,58.56,Ineligible
A023B,20,male,Telangana,bachelors,84.3,537000.0,110,999,1,0,0,1,1,1,56.72,Ineligible
BVOBC,21,male,Meghalaya,bachelors,90.9,390000.0,140,999,1,1,65,1,1,1,69.36,Ineligible
ARG45,25,female,Karnataka,masters,52.7,405000.0,6,999,1,0,0,1,0,0,66.08,Ineligible
BPVGK,17,female,Maharashtra,10th,74.6,110000.0,999,999,1,0,0,1,1,1,67.84,Eligible
ARG45,24,female,Kerala,masters,70.0,625000.0,88,999,1,0,0,1,1,1,58.0,Eligible
BVOBC,18,female,Sikkim,bachelors,52.8,357000.0,88,999,1,0,0,1,0,1,61.12,Ineligible
BVOBC,19,female,Sikkim,bachelors,83.7,121000.0,2,999,1,0,0,1,1,0,88.48,Borderline
BPVGK,17,female,Andhra Pradesh,10th,66.1,234000.0,999,999,1,0,0,1,1,1,59.44,Eligible
AZKMI,29,female,Telangana,phd,53.7,191000.0,999,21,1,0,0,1,1,1,76.48,Ineligible
BPVGK,17,male,Andhra Pradesh,10th,75.3,309000.0,999,999,1,0,0,1,1,1,58.12,Ineligible
BVOBC,18,male,Chhattisgarh,12th,63.4,282000.0,59,999,1,0,0,1,1,1,60.36,Ineligible
BVOBC,17,female,Sikkim,bachelors,86.5,266000.0,59,999,1,0,0,1,1,1,74.6,Ineligible
ARG45,28,male,Chhattisgarh,masters,82.8,774000.0,5,999,1,0,0,1,1,0,68.12,Borderline
AZKMI,29,male,Manipur,masters,59.4,794000.0,999,22,1,0,0,1,1,1,58.76,Ineligible
BVOBC,20,male,Manipur,bachelors,87.3,76000.0,3,999,1,0,0,1,1,1,84.92,Eligible
ARG45,29,female,Meghalaya,phd,65.2,428000.0,95,999,1,0,0,0,1,1,61.08,Ineligible
A023B,20,male,Karnataka,masters,81.6,135000.0,1,999,1,0,0,1,1,1,82.64,Eligible
ARG45,23,female,Nagaland,phd,95.0,432000.0,65,999,1,0,0,1,0,1,73.0,Borderline
ARG45,25,male,Gujarat,phd,79.2,241000.0,85,999,1,0,0,0,1,1,66.68,Ineligible
A023B,20,male,Kerala,masters,82.0,720000.0,59,999,1,0,0,0,1,1,57.8,Ineligible
AZKMI,32,male,Gujarat,masters,93.1,221000.0,999,650,1,0,0,1,1,1,62.24,Ineligible
BPVGK,15,male,Karnataka,10th,81.0,260000.0,999,999,1,0,0,1,1,0,60.4,Ineligible
